adyghe          	low   	58.80	0.59
occitan         	low   	79.00	0.74
occitan         	medium	87.00	0.30
occitan         	high  	94.00	0.10
old-armenian    	low   	25.50	1.90
old-armenian    	medium	62.10	0.86
old-armenian    	high  	73.70	0.62
old-church-slavonic	low   	34.00	1.42
old-church-slavonic	medium	65.00	0.72
old-church-slavonic	high  	64.00	0.77
old-french      	low   	30.40	1.75
old-french      	medium	60.50	0.83
old-french      	high  	78.60	0.47
old-irish       	low   	12.00	3.42
old-irish       	medium	20.00	3.20
old-saxon       	low   	25.30	1.74
old-saxon       	medium	41.70	1.01
old-saxon       	high  	60.50	0.63
pashto          	low   	34.00	1.90
pashto          	medium	53.00	1.41
pashto          	high  	58.00	1.25
persian         	low   	3.60	7.01
persian         	medium	6.10	6.47
persian         	high  	7.40	6.33
portuguese      	low   	65.70	0.80
portuguese      	medium	92.20	0.13
portuguese      	high  	97.10	0.05
quechua         	low   	17.10	6.28
quechua         	medium	71.30	1.51
quechua         	high  	95.00	0.11
romanian        	low   	34.80	2.13
romanian        	medium	55.60	1.60
romanian        	high  	65.10	1.38
sanskrit        	low   	30.00	1.58
sanskrit        	medium	57.90	0.80
sanskrit        	high  	78.70	0.39
scottish-gaelic 	low   	40.00	1.00
scottish-gaelic 	medium	44.00	1.00
serbo-croatian  	low   	16.70	2.89
serbo-croatian  	medium	51.50	1.69
serbo-croatian  	high  	67.90	1.30
slovak          	low   	37.70	1.14
slovak          	medium	71.00	0.55
slovak          	high  	82.50	0.31
slovene         	low   	0.80	2.25
slovene         	medium	4.80	1.57
slovene         	high  	22.80	1.09
sorani          	low   	20.50	3.36
sorani          	medium	52.80	1.05
sorani          	high  	64.30	0.70
spanish         	low   	59.80	1.26
spanish         	medium	80.40	0.58
spanish         	high  	85.00	0.44
swahili         	low   	29.00	2.49
swahili         	medium	71.00	0.52
swahili         	high  	72.00	0.47
swedish         	low   	55.40	0.86
swedish         	medium	74.80	0.49
swedish         	high  	85.50	0.31
tatar           	low   	56.00	0.88
tatar           	medium	84.00	0.29
tatar           	high  	90.00	0.17
telugu          	low   	80.00	0.70
tibetan         	low   	54.00	0.80
tibetan         	medium	48.00	0.88
turkish         	low   	9.40	5.46
turkish         	medium	23.40	4.28
turkish         	high  	55.00	2.49
turkmen         	low   	30.00	1.66
turkmen         	medium	70.00	0.48
ukrainian       	low   	39.00	1.02
ukrainian       	medium	72.50	0.54
ukrainian       	high  	83.70	0.31
urdu            	low   	5.20	6.80
urdu            	medium	7.10	6.32
urdu            	high  	7.70	6.28
uzbek           	low   	53.00	2.12
uzbek           	medium	93.00	0.07
uzbek           	high  	93.00	0.07
venetian        	low   	69.00	0.59
venetian        	medium	89.50	0.15
venetian        	high  	93.70	0.08
votic           	low   	15.00	1.88
votic           	medium	38.00	1.12
votic           	high  	41.00	1.05
welsh           	low   	18.00	2.39
welsh           	medium	41.00	2.04
welsh           	high  	49.00	1.53
west-frisian    	low   	47.00	1.32
west-frisian    	medium	67.00	0.90
west-frisian    	high  	67.00	0.91
yiddish         	low   	70.00	0.61
yiddish         	medium	80.00	0.35
yiddish         	high  	88.00	0.22
zulu            	low   	19.20	2.20
zulu            	medium	56.50	0.91
zulu            	high  	71.00	0.58
